STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,-62,0,0,-79,-79,4
0,-70,-73,-72,-73,-71,4
-52,-62,-71,-72,-70,-73,4
-52,-65,-75,-71,-72,-73,4
-52,-65,-73,-78,-73,-73,4
-52,-59,-72,-71,-74,-72,4
-48,-60,-68,-68,-72,-69,4
-48,-64,-68,-68,-72,-69,4
-47,-64,-72,-72,-70,-69,4
-47,-66,-72,-72,-70,-69,4
-47,-66,-72,-77,-77,-77,4
-47,-62,-74,-70,-74,-73,4
-46,-62,-78,-70,-74,-73,4
-46,-61,-71,-72,-69,-72,4
-46,-57,-71,-72,-74,-76,4
-46,-71,-75,-72,-75,-74,4
-46,-62,-74,-69,-69,-73,4
-43,-64,-75,-70,-71,-71,4
-42,-61,-73,-70,-71,-71,4
-42,-69,-73,-74,-73,-74,4
-42,-61,-73,-74,-73,-69,4
-42,-66,-73,-76,-73,-80,4
-42,-70,-77,-76,-74,-80,4
-39,-64,-77,-69,-68,-80,4
-39,-67,-75,-69,-74,-80,4
-39,-67,-75,-69,-69,-70,4
-39,-66,-70,-72,-71,-71,4
-42,-68,-70,-70,-68,-71,4
-42,-73,-70,-78,-77,-71,4
-40,-72,-77,-78,-80,-79,4
-40,-66,-77,-75,-77,-76,4
