STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,-53,-52,-51,-51,0,10
0,-57,-50,-50,-52,-50,10
0,-49,-48,-46,-47,-46,10
-60,-56,-47,-47,-47,-47,10
-66,-53,-51,-51,-51,-52,10
-66,-58,-44,-44,-44,-44,10
-66,-58,-45,-45,-45,-47,10
-64,-52,-38,-37,-45,-47,10
-63,-55,-38,-38,-34,-47,10
-63,-55,-45,-46,-44,-49,10
-63,-55,-41,-46,-44,-43,10
-61,-57,-46,-47,-46,-47,10
-68,-56,-47,-52,-53,-48,10
-68,-54,-51,-51,-76,-51,10
-68,-55,-52,-51,-76,-51,10
-72,-51,-54,-53,-54,-51,10
-72,-55,-50,-49,-50,-50,10
-72,-61,-52,-52,-51,-53,10
-60,-55,-48,-46,-49,-46,10
-69,-63,-48,-46,-54,-54,10
-69,-55,-53,-53,-55,-54,10
-69,-60,-51,-52,-55,-54,10
-68,-54,-51,-56,-54,-54,10
-68,-56,-58,-62,-58,-58,10
-68,-56,-54,-53,-58,-58,10
-68,-64,-51,-51,-50,-52,10
-68,-64,-54,-54,-55,-52,10
