STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,-37,-63,-63,-62,-61,9
0,-42,-64,-65,-65,-64,9
0,-34,-60,-62,-58,-64,9
0,-45,-57,-57,-57,-57,9
0,-37,-57,-57,-55,-56,9
0,-41,-57,-57,-55,-56,9
0,-47,-61,-63,-60,-62,9
0,-44,-61,-58,-56,-62,9
0,-50,-57,-54,-55,-54,9
0,-50,-65,-60,-55,-54,9
0,-48,-78,-60,-59,-59,9
-60,-44,-55,-56,-55,-57,9
-60,-55,-71,-53,-53,-53,9
-60,-52,-56,-55,-56,-55,9
-66,-54,-54,-56,-55,-57,9
-55,-50,-58,-57,-55,-57,9
-55,-52,-56,-56,-55,-57,9
-55,-49,-59,-60,-58,-58,9
-57,-56,-59,-60,-54,-52,9
-57,-55,-49,-50,-52,-49,9
-57,-58,-50,-51,-50,-49,9
-57,-46,-60,-58,-61,-63,9
-62,-47,-56,-54,-55,-54,9
-62,-51,-52,-53,-51,-53,9
-62,-63,-50,-50,-49,-50,9
-62,-51,-50,-49,-49,-48,9
