STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,-58,0,-72,-74,0,11
0,-57,0,-72,-74,-71,11
0,-58,0,-72,-74,-71,11
0,-55,0,-72,-74,-71,11
0,-57,-74,-72,-74,-71,11
0,-55,-74,-72,-74,-71,11
-73,-56,-70,-72,-74,-71,11
-73,-53,-70,-71,-74,-71,11
-73,-57,-70,-71,-74,-71,11
-73,-55,-70,-71,-74,-71,11
-73,-53,-70,-71,-74,-74,11
-73,-55,-71,-71,-74,-74,11
-73,-58,-71,-71,-74,-74,11
-73,-64,-71,-71,-74,-74,11
-73,-59,-71,-71,-76,-74,11
-73,-55,-76,-71,-76,-74,11
-73,-54,-75,-75,-76,-76,11
-73,-61,-75,-73,-76,-76,11
-73,-56,-78,-73,-76,-72,11
-73,-55,-78,-69,-76,-72,11
-73,-53,-72,-72,-71,-71,11
-73,-53,-71,-76,-76,-75,11
-73,-55,-71,-76,-76,-71,11
-73,-54,-75,-78,-76,-73,11
-73,-49,-74,-78,-76,-73,11
-73,-58,-74,-78,-66,-73,11
-73,-52,-74,-78,-66,-73,11
-73,-49,-74,-78,-66,-64,11
-73,-40,-69,-69,-69,-69,11
