#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Hew,-75
STUDBME2,-71
Sbme-Staff,-79
ARC3,-69
CMP_LAB4,-82
CMP_LAB1,-78
CMP-lab1,-84
Redmi,-76
s,s
Hew,-69
Sbme-Staff,-84
STUDBME2,-71
ARC3,-65
CMP_LAB1,-84
CMP_LAB2,-80
RehabLab,-87
Redmi,-75
s,s
Sbme-Staff,-70
Hew,-71
STUDBME2,-75
ARC3,-68
CMP_LAB2,-78
CMP_LAB3,-79
Redmi,-73
s,s
Hew,-83
Sbme-Staff,-70
STUDBME2,-73
CUFE,-85
HP-Print-47-LaserJet Pro MFP,-86
STUDBME1,-39
CMP_LAB2,-77
CMP_LAB1,-74
CMP-lab1,-82
CMP_LAB3,-78
CMP_LAB4,-78
Redmi,-72
s,s
Hew,-77
Sbme-Staff,-79
STUDBME2,-74
CUFE,-87
HP-Print-47-LaserJet Pro MFP,-84
ARC3,-63
CMP_LAB4,-77
Galaxy Note10+,-85
Redmi,-75
s,s
Sbme-Staff,-75
Hew,-69
STUDBME2,-74
CMP_LAB4,-78
CMP_LAB1,-79
Redmi,-78
s,s
Hew,-70
Sbme-Staff,-73
STUDBME2,-68
ARC3,-60
CMP-lab1,-82
Redmi,-74
s,s
STUDBME2,-65
Hew,-67
Sbme-Staff,-80
ARC3,-61
HP-Print-47-LaserJet Pro MFP,-86
STUDBME1,-41
CMP_LAB2,-76
CMP_LAB3,-77
RehabLab,-86
Redmi,-74
s,s
Hew,-55
Sbme-Staff,-86
STUDBME2,-66
ARC3,-70
HP-Print-47-LaserJet Pro MFP,-85
Loozazzz,-91
CMP_LAB2,-75
CMP_LAB3,-76
POLA,-83
CMP_LAB4,-77
Galaxy Note10+,-72
RehabLab,-87
Redmi,-71
s,s
Hew,-60
Sbme-Staff,-80
STUDBME2,-68
CUFE,-81
iPhone 11,-81
ARC3,-66
STUDBME1,-45
CMP_LAB3,-80
CMP_LAB1,-77
CMP_LAB4,-79
CMP_LAB2,-78
Galaxy Note10+,-86
Redmi,-72
s,s
Sbme-Staff,-81
ARC1,-81
HP-Print-47-LaserJet Pro MFP,-83
STUDBME2,-66
Hew,-66
CMP_LAB4,-76
CMP_LAB1,-77
CMP_LAB2,-77
Galaxy Note10+,-87
Redmi,-76
s,s
Hew,-64
Sbme-Staff,-80
STUDBME2,-70
ARC3,-70
HP-Print-47-LaserJet Pro MFP,-87
CMP_LAB3,-81
Galaxy Note10+,-84
Avaya,-89
Redmi,-74
s,s
Hew,-75
Sbme-Staff,-72
STUDBME2,-73
ARC1,-87
ARC3,-71
HP-Print-47-LaserJet Pro MFP,-84
CMP_LAB2,-72
CMP_LAB4,-72
CMP_LAB1,-72
CMP_LAB3,-72
Galaxy Note10+,-76
Redmi,-75
s,s
Sbme-Staff,-72
STUDBME2,-69
Hew,-77
CUFE,-87
ARC3,-68
wifi201n,-83
HP-Print-47-LaserJet Pro MFP,-82
STUDBME1,-48
CMP_LAB2,-77
CMP_LAB3,-78
CMP_LAB4,-75
Redmi,-74
s,s
Hew,-77
STUDBME2,-67
HP-Print-47-LaserJet Pro MFP,-78
Avaya,-87
wifi201n,-82
ARC1,-81
Sbme-Staff,-69
CMP_LAB4,-75
CMP_LAB1,-77
Redmi,-78
s,s
Hew,-83
STUDBME2,-62
Sbme-Staff,-82
CUFE,-82
HP-Print-47-LaserJet Pro MFP,-77
ARC1,-89
CMP_LAB1,-81
CMP_LAB3,-82
CMP_LAB2,-83
CMP_LAB4,-80
Galaxy Note10+,-81
Redmi,-75
s,s
Sbme-Staff,-70
Hew,-80
STUDBME2,-65
ARC3,-74
HP-Print-47-LaserJet Pro MFP,-81
CMP_LAB1,-79
CMP_LAB3,-76
CMP_LAB2,-79
CMP_LAB4,-76
Galaxy Note10+,-82
RehabLab,-93
Redmi,-73
s,s
Sbme-Staff,-70
Hew,-89
STUDBME2,-70
CUFE,-85
HP-Print-47-LaserJet Pro MFP,-82
ARC3,-65
STUDBME1,-44
PJ-WIRELESS5,-90
Redmi,-74
s,s
Sbme-Staff,-80
STUDBME2,-68
Hew,-84
ARC1,-88
HP-Print-47-LaserJet Pro MFP,-83
CMP_LAB1,-79
Redmi,-72
s,s
STUDBME2,-73
Sbme-Staff,-82
CUFE,-89
Hew,-85
STUDBME1,-47
CMP_LAB4,-75
CMP_LAB1,-77
CMP_LAB2,-74
Galaxy Note10+,-86
Redmi,-77
s,s
Sbme-Staff,-74
Hew,-89
ARC1,-82
STUDBME2,-69
CMP_LAB1,-79
CMP_LAB3,-78
CMP_LAB2,-79
CMP_LAB4,-79
Redmi,-74
s,s
Sbme-Staff,-71
STUDBME2,-69
Hew,-90
CMP_LAB2,-77
CMP_LAB3,-75
Galaxy Note10+,-85
Redmi,-75
s,s
